Year,Revenue_$m,FCF_margin_%,FCF_$m,Discount_Factor,PV_FCF_$m
2025,3400.0,18.0,612.0,0.9090909090909091,556.3636363636364
2026,4100.0,20.0,820.0,0.8264462809917354,677.685950413223
2027,4800.0,22.0,1056.0,0.7513148009015777,793.388429752066
2028,5600.0,24.0,1344.0,0.6830134553650704,917.9700840106547
2029,6400.0,25.0,1600.0,0.6209213230591549,993.4741168946479
